name,latitude,longitude,capacity,region,status
Warehouse-0042,12.750465,77.775572,11700,generated,active
Warehouse-0043,12.961742,77.624819,5781,generated,active
Warehouse-0044,13.060112,77.698522,3871,generated,active
Warehouse-0045,12.940648,77.777541,6555,generated,active
Warehouse-0046,12.884021,77.433749,13833,generated,active
Warehouse-0047,12.946046,77.69207,16024,generated,active
Warehouse-0048,13.179493,77.488054,17946,generated,active
Warehouse-0049,12.829751,77.650546,6323,generated,active
Warehouse-0050,13.064149,77.590743,12206,generated,active
Warehouse-0051,13.005579,77.559354,4476,generated,active
Warehouse-0052,12.967426,77.594041,5249,generated,active
Warehouse-0053,13.139838,77.596843,3795,generated,active
Warehouse-0054,12.918711,77.615135,3319,generated,active
Warehouse-0055,12.996443,77.802705,7682,generated,active
Warehouse-0056,12.978539,77.60532,6390,generated,active
Warehouse-0057,12.842414,77.607107,18971,generated,active
Warehouse-0058,12.938329,77.708372,6277,generated,active
Warehouse-0059,13.084317,77.697274,14093,generated,active
Warehouse-0060,12.781644,77.697369,9561,generated,active
Warehouse-0061,13.040988,77.61496,19989,generated,active
Warehouse-0062,13.067268,77.593409,10324,generated,active
Warehouse-0063,12.984929,77.491075,13914,generated,active
Warehouse-0064,12.907021,77.581073,7235,generated,active
Warehouse-0065,12.937302,77.608814,8262,generated,active
Warehouse-0066,12.87184,77.481968,3051,generated,active
Warehouse-0067,12.97141,77.595941,12405,generated,active
Warehouse-0068,12.859081,77.609004,10021,generated,active
Warehouse-0069,12.836083,77.514355,5852,generated,active
Warehouse-0070,13.107634,77.561318,17982,generated,active
Warehouse-0071,12.854139,77.576527,17716,generated,active
Warehouse-0072,12.950732,77.590922,3666,generated,active
Warehouse-0073,12.965825,77.465203,11404,generated,active
Warehouse-0074,12.789778,77.532607,8010,generated,active
Warehouse-0075,13.005529,77.558514,5576,generated,active
Warehouse-0076,12.827046,77.671861,15792,generated,active
Warehouse-0077,12.914789,77.646628,6596,generated,active
Warehouse-0078,12.920837,77.486483,16069,generated,active
Warehouse-0079,12.857737,77.617525,7968,generated,active
Warehouse-0080,12.721285,77.624195,16130,generated,active
Warehouse-0081,13.16363,77.903555,8954,generated,active
Warehouse-0082,12.829677,77.83492,18140,generated,active
Warehouse-0083,12.754746,77.651205,6481,generated,active
Warehouse-0084,13.028833,77.611813,15894,generated,active
Warehouse-0085,12.846405,77.394831,11583,generated,active
Warehouse-0086,13.024981,77.353591,15630,generated,active
Warehouse-0087,12.939907,77.643589,13520,generated,active
Warehouse-0088,12.964212,77.528807,15661,generated,active
Warehouse-0089,13.096275,77.732597,15648,generated,active
Warehouse-0090,12.943624,77.62,17375,generated,active
Warehouse-0091,13.12494,77.574724,15491,generated,active
Warehouse-0092,12.88365,77.485831,9298,generated,active
Warehouse-0093,13.091105,77.573562,10585,generated,active
Warehouse-0094,12.879129,77.653806,3808,generated,active
Warehouse-0095,13.155279,77.579983,9451,generated,active
Warehouse-0096,12.870477,77.499334,9088,generated,active
Warehouse-0097,13.015743,77.551146,5059,generated,active
Warehouse-0098,12.976779,77.726153,15100,generated,active
Warehouse-0099,12.979921,77.590527,13484,generated,active
Warehouse-0100,12.901589,77.449598,6229,generated,active
Warehouse-0101,13.145327,77.474783,8649,generated,active
Warehouse-0102,12.851736,77.763493,11608,generated,active
Warehouse-0103,12.902756,77.500947,17432,generated,active
Warehouse-0104,12.843901,77.709065,19602,generated,active
Warehouse-0105,12.868666,77.594616,7404,generated,active
Warehouse-0106,12.811588,77.469203,8787,generated,active
Warehouse-0107,13.031271,77.519732,13648,generated,active
Warehouse-0108,12.779004,77.560237,4680,generated,active
Warehouse-0109,12.945256,77.617627,8142,generated,active
Warehouse-0110,12.9057,77.607662,15232,generated,active
Warehouse-0111,13.101118,77.674722,15541,generated,active
Warehouse-0112,13.00058,77.47822,15842,generated,active
Warehouse-0113,13.106569,77.556087,18687,generated,active
Warehouse-0114,12.890345,77.50995,14486,generated,active
Warehouse-0115,12.937955,77.567235,5719,generated,active
Warehouse-0116,12.745517,77.657415,18136,generated,active
Warehouse-0117,12.811959,77.598248,13057,generated,active
Warehouse-0118,13.156077,77.4501,14067,generated,active
Warehouse-0119,13.01539,77.696936,17802,generated,active
Warehouse-0120,13.097116,77.616696,16599,generated,active
Warehouse-0121,12.905741,77.701544,4824,generated,active
Warehouse-0122,12.912359,77.568508,6054,generated,active
Warehouse-0123,12.893367,77.539136,14068,generated,active
Warehouse-0124,13.028446,77.590696,7737,generated,active
Warehouse-0125,12.862228,77.635882,17513,generated,active
Warehouse-0126,12.932559,77.427397,14352,generated,active
Warehouse-0127,12.846986,77.642361,12771,generated,active
Warehouse-0128,13.041037,77.520742,5970,generated,active
Warehouse-0129,12.834898,77.730507,6308,generated,active
Warehouse-0130,13.108076,77.619225,16663,generated,active
Warehouse-0131,12.883173,77.546575,10684,generated,active
Warehouse-0132,13.129596,77.692726,15067,generated,active
Warehouse-0133,12.836484,77.622137,6550,generated,active
Warehouse-0134,12.922893,77.478273,18784,generated,active
Warehouse-0135,13.048774,77.618845,15681,generated,active
Warehouse-0136,12.796722,77.613093,10713,generated,active
Warehouse-0137,13.058732,77.613943,3493,generated,active
Warehouse-0138,13.172989,77.515899,17629,generated,active
Warehouse-0139,12.945529,77.500383,14879,generated,active
Warehouse-0140,12.763917,77.579662,13248,generated,active
Warehouse-0141,13.106233,77.577093,19621,generated,active
Warehouse-0142,13.105894,77.577576,11390,generated,active
Warehouse-0143,12.961401,77.559648,6293,generated,active
Warehouse-0144,13.043934,77.646658,18816,generated,active
Warehouse-0145,13.034775,77.635129,15414,generated,active
Warehouse-0146,12.857208,77.664474,16135,generated,active
Warehouse-0147,12.970818,77.525492,7338,generated,active
Warehouse-0148,12.988475,77.632304,19670,generated,active
Warehouse-0149,12.956547,77.388452,18588,generated,active
Warehouse-0150,13.071198,77.478005,19717,generated,active
Warehouse-0151,12.91927,77.459424,4869,generated,active
Warehouse-0152,12.89805,77.467353,12020,generated,active
Warehouse-0153,12.805324,77.735986,7144,generated,active
Warehouse-0154,12.954576,77.641578,13400,generated,active
Warehouse-0155,12.731613,77.896445,10673,generated,active
Warehouse-0156,12.86645,77.662306,5947,generated,active
Warehouse-0157,12.932871,77.460003,4194,generated,active
Warehouse-0158,12.847275,77.711042,6569,generated,active
Warehouse-0159,13.059503,77.568255,10170,generated,active
Warehouse-0160,12.95136,77.568516,16599,generated,active
Warehouse-0161,13.012106,77.756416,6462,generated,active
Warehouse-0162,13.071957,77.688988,10650,generated,active
Warehouse-0163,13.009254,77.474217,19168,generated,active
Warehouse-0164,12.934172,77.60176,12448,generated,active
Warehouse-0165,13.211346,77.546621,5007,generated,active
Warehouse-0166,13.063293,77.450436,19709,generated,active
Warehouse-0167,12.97361,77.584452,5433,generated,active
Warehouse-0168,13.116019,77.865209,19044,generated,active
Warehouse-0169,12.917233,77.861035,4329,generated,active
Warehouse-0170,12.796326,77.462353,19908,generated,active
Warehouse-0171,13.035624,77.508459,14707,generated,active
Warehouse-0172,12.9351,77.599441,14943,generated,active
Warehouse-0173,12.951868,77.667393,19858,generated,active
Warehouse-0174,12.872506,77.59667,5756,generated,active
Warehouse-0175,12.810268,77.350703,19011,generated,active
Warehouse-0176,12.995974,77.497559,18570,generated,active
Warehouse-0177,12.98282,77.726321,15371,generated,active
Warehouse-0178,13.249744,77.616862,9971,generated,active
Warehouse-0179,12.986471,77.588441,10893,generated,active
Warehouse-0180,13.006944,77.652433,8258,generated,active
Warehouse-0181,12.906562,77.721206,12627,generated,active
Warehouse-0182,12.984595,77.427358,11924,generated,active
Warehouse-0183,12.944699,77.525158,13017,generated,active
Warehouse-0184,13.131198,77.571688,3772,generated,active
Warehouse-0185,12.934779,77.463825,12995,generated,active
Warehouse-0186,13.125256,77.760356,9290,generated,active
Warehouse-0187,12.967569,77.470696,13284,generated,active
Warehouse-0188,12.892835,77.614323,15409,generated,active
Warehouse-0189,12.854048,77.629425,18029,generated,active
Warehouse-0190,12.748017,77.663897,13630,generated,active
Warehouse-0191,12.849582,77.532083,9699,generated,active
Warehouse-0192,12.906957,77.476615,13226,generated,active
Warehouse-0193,12.851493,77.661163,4026,generated,active
Warehouse-0194,12.929196,77.572825,14439,generated,active
Warehouse-0195,12.962927,77.76582,3271,generated,active
Warehouse-0196,12.945935,77.584807,13217,generated,active
Warehouse-0197,12.974821,77.410555,19133,generated,active
Warehouse-0198,13.103211,77.663135,3868,generated,active
Warehouse-0199,12.83853,77.542731,16474,generated,active
Warehouse-0200,12.945373,77.628497,9870,generated,active
Warehouse-0201,12.946625,77.464316,18205,generated,active
Warehouse-0202,13.119101,77.615186,12069,generated,active
Warehouse-0203,13.014375,77.551198,11033,generated,active
Warehouse-0204,13.059339,77.678742,3277,generated,active
Warehouse-0205,13.074522,77.622978,6267,generated,active
Warehouse-0206,12.916593,77.643526,11318,generated,active
Warehouse-0207,13.024558,77.582477,3739,generated,active
Warehouse-0208,13.048698,77.374302,19608,generated,active
Warehouse-0209,12.796624,77.797622,5281,generated,active
Warehouse-0210,12.843282,77.838396,17464,generated,active
Warehouse-0211,13.049519,77.570067,13640,generated,active
Warehouse-0212,12.909386,77.598945,6544,generated,active
Warehouse-0213,12.928655,77.62675,16170,generated,active
Warehouse-0214,12.992635,77.614616,19760,generated,active
Warehouse-0215,12.978761,77.466872,17446,generated,active
Warehouse-0216,12.932344,77.593231,14136,generated,active
Warehouse-0217,13.014405,77.614017,16311,generated,active
Warehouse-0218,12.950361,77.673199,4504,generated,active
Warehouse-0219,12.870434,77.62784,11499,generated,active
Warehouse-0220,13.083622,77.543257,8990,generated,active
Warehouse-0221,12.837052,77.486324,9496,generated,active
Warehouse-0222,13.170693,77.815389,18189,generated,active
Warehouse-0223,12.835555,77.697538,14877,generated,active
Warehouse-0224,13.101002,77.848282,5026,generated,active
Warehouse-0225,12.872062,77.500835,7112,generated,active
Warehouse-0226,13.026991,77.598547,13675,generated,active
Warehouse-0227,13.022836,77.597616,9094,generated,active
Warehouse-0228,12.860269,77.592234,16045,generated,active
Warehouse-0229,12.904147,77.570209,12389,generated,active
Warehouse-0230,13.016524,77.473768,5833,generated,active
Warehouse-0231,12.911708,77.531075,13330,generated,active
Warehouse-0232,12.780473,77.731292,17341,generated,active
Warehouse-0233,13.105368,77.573451,19625,generated,active
Warehouse-0234,13.030239,77.456907,19766,generated,active
Warehouse-0235,13.076291,77.459982,8136,generated,active
Warehouse-0236,12.943683,77.461648,6741,generated,active
Warehouse-0237,12.842955,77.605389,19472,generated,active
Warehouse-0238,12.996994,77.504839,18996,generated,active
Warehouse-0239,12.868248,77.649356,10983,generated,active
Warehouse-0240,12.994299,77.627208,15478,generated,active
Warehouse-0241,12.980688,77.519006,19982,generated,active
Warehouse-0242,12.978231,77.569375,19171,generated,active
Warehouse-0243,12.947887,77.722956,18340,generated,active
Warehouse-0244,13.069063,77.610186,19163,generated,active
Warehouse-0245,12.91361,77.587623,15423,generated,active
Warehouse-0246,12.863347,77.504612,11346,generated,active
Warehouse-0247,12.91203,77.747066,6531,generated,active
Warehouse-0248,13.136449,77.687653,15827,generated,active
Warehouse-0249,12.906675,77.392745,4490,generated,active
Warehouse-0250,12.851873,77.437026,4397,generated,active
Warehouse-0251,12.9693,77.794449,15303,generated,active
Warehouse-0252,13.020999,77.336134,6053,generated,active
Warehouse-0253,12.848078,77.648025,8638,generated,active
Warehouse-0254,12.809885,77.697642,15636,generated,active
Warehouse-0255,12.801784,77.563238,19593,generated,active
Warehouse-0256,13.154835,77.499595,15440,generated,active
Warehouse-0257,13.012669,77.484011,12014,generated,active
Warehouse-0258,12.983714,77.676751,10383,generated,active
Warehouse-0259,13.101021,77.536295,3534,generated,active
Warehouse-0260,13.137067,77.593263,15214,generated,active
Warehouse-0261,13.004001,77.606939,12921,generated,active
Warehouse-0262,13.185897,77.574641,10794,generated,active
Warehouse-0263,12.997027,77.532804,10874,generated,active
Warehouse-0264,12.863272,77.487356,15904,generated,active
Warehouse-0265,13.171835,77.452475,9003,generated,active
Warehouse-0266,12.8617,77.691551,17150,generated,active
Warehouse-0267,12.818011,77.660553,14652,generated,active
Warehouse-0268,12.80935,77.759047,3075,generated,active
Warehouse-0269,12.970543,77.66493,10452,generated,active
Warehouse-0270,13.014784,77.666215,12816,generated,active
Warehouse-0271,12.884276,77.575658,3229,generated,active
Warehouse-0272,13.054473,77.480558,13197,generated,active
Warehouse-0273,13.107249,77.865768,4823,generated,active
Warehouse-0274,12.862786,77.514337,7070,generated,active
Warehouse-0275,12.942431,77.621809,13804,generated,active
Warehouse-0276,13.172886,77.51238,17320,generated,active
Warehouse-0277,12.932184,77.66533,18931,generated,active
Warehouse-0278,12.919198,77.36434,7666,generated,active
Warehouse-0279,12.984365,77.603813,15380,generated,active
Warehouse-0280,12.921171,77.476175,5636,generated,active
Warehouse-0281,12.822648,77.372358,11643,generated,active
Warehouse-0282,13.161429,77.620537,13396,generated,active
Warehouse-0283,12.893994,77.804238,17310,generated,active
Warehouse-0284,13.068845,77.696668,9494,generated,active
Warehouse-0285,12.890338,77.489841,12610,generated,active
Warehouse-0286,12.968679,77.650218,10400,generated,active
Warehouse-0287,13.102327,77.581065,4545,generated,active
Warehouse-0288,12.86668,77.466963,10126,generated,active
Warehouse-0289,12.913147,77.59415,5920,generated,active
Warehouse-0290,12.986609,77.619652,8327,generated,active
Warehouse-0291,13.027974,77.623698,7642,generated,active
Warehouse-0292,13.023294,77.475666,9843,generated,active
Warehouse-0293,12.962006,77.708323,10705,generated,active
Warehouse-0294,12.964052,77.713013,16290,generated,active
Warehouse-0295,13.074886,77.401785,11193,generated,active
Warehouse-0296,12.930264,77.503355,19962,generated,active
Warehouse-0297,12.838628,77.790153,10501,generated,active
Warehouse-0298,13.083413,77.688273,10294,generated,active
Warehouse-0299,13.048358,77.575574,17935,generated,active
Warehouse-0300,13.104249,77.441475,14180,generated,active
Warehouse-0301,13.000132,77.547552,18265,generated,active
Warehouse-0302,12.912303,77.571332,10879,generated,active
Warehouse-0303,13.113865,77.469541,13903,generated,active
Warehouse-0304,13.012669,77.658302,11382,generated,active
Warehouse-0305,12.947868,77.548153,14454,generated,active
Warehouse-0306,13.077409,77.576221,8355,generated,active
Warehouse-0307,13.041043,77.647719,8024,generated,active
Warehouse-0308,13.144286,77.323004,4632,generated,active
Warehouse-0309,13.339031,77.509411,15161,generated,active
Warehouse-0310,13.067279,77.421075,15337,generated,active
Warehouse-0311,12.928325,77.552355,12579,generated,active
Warehouse-0312,13.061673,77.545504,7291,generated,active
Warehouse-0313,13.011899,77.76135,13352,generated,active
Warehouse-0314,12.635997,77.607277,4552,generated,active
Warehouse-0315,13.056698,77.672707,5874,generated,active
Warehouse-0316,12.961906,77.58601,3755,generated,active
Warehouse-0317,13.092794,77.626973,11313,generated,active
Warehouse-0318,13.053768,77.716963,13256,generated,active
Warehouse-0319,12.798691,77.560467,11506,generated,active
Warehouse-0320,12.857463,77.54226,8176,generated,active
Warehouse-0321,13.041077,77.581033,13564,generated,active
Warehouse-0322,12.977715,77.550481,3305,generated,active
Warehouse-0323,13.093485,77.555888,16204,generated,active
Warehouse-0324,13.046963,77.683894,19201,generated,active
Warehouse-0325,12.975708,77.611043,18641,generated,active
Warehouse-0326,13.137674,77.721005,5069,generated,active
Warehouse-0327,12.773934,77.684393,10367,generated,active
Warehouse-0328,13.096974,77.649372,6546,generated,active
Warehouse-0329,13.088101,77.511064,15030,generated,active
Warehouse-0330,12.993451,77.604555,11548,generated,active
Warehouse-0331,12.996114,77.580534,9305,generated,active
Warehouse-0332,13.01043,77.807939,6191,generated,active
Warehouse-0333,12.984682,77.664764,10113,generated,active
Warehouse-0334,12.974581,77.553331,9574,generated,active
Warehouse-0335,12.955166,77.643666,10250,generated,active
Warehouse-0336,13.09483,77.656999,14096,generated,active
Warehouse-0337,12.869606,77.505285,5994,generated,active
Warehouse-0338,12.83662,77.668378,3491,generated,active
Warehouse-0339,13.074004,77.561552,6843,generated,active
Warehouse-0340,12.94633,77.604988,17977,generated,active
Warehouse-0341,12.925564,77.53659,15193,generated,active
Warehouse-0342,12.990583,77.475911,3586,generated,active
Warehouse-0343,12.95521,77.668345,16387,generated,active
Warehouse-0344,12.940524,77.512488,18591,generated,active
Warehouse-0345,12.921662,77.644284,18975,generated,active
Warehouse-0346,12.974687,77.622042,16084,generated,active
Warehouse-0347,12.980252,77.602104,6346,generated,active
Warehouse-0348,12.91911,77.673948,8395,generated,active
Warehouse-0349,13.007725,77.61841,12405,generated,active
Warehouse-0350,12.850251,77.577691,18843,generated,active
Warehouse-0351,12.94871,77.539199,16531,generated,active
Warehouse-0352,13.184323,77.597108,18457,generated,active
Warehouse-0353,12.993461,77.615883,15375,generated,active
Warehouse-0354,13.024367,77.717705,19096,generated,active
Warehouse-0355,13.116313,77.62101,5826,generated,active
Warehouse-0356,12.944764,77.628912,9091,generated,active
Warehouse-0357,13.203933,77.839977,14882,generated,active
Warehouse-0358,12.81961,77.539562,17695,generated,active
Warehouse-0359,12.868985,77.572447,8314,generated,active
Warehouse-0360,13.032481,77.591567,4998,generated,active
Warehouse-0361,12.994082,77.656714,17411,generated,active
Warehouse-0362,12.951531,77.69137,5389,generated,active
Warehouse-0363,12.802881,77.597277,18062,generated,active
Warehouse-0364,13.02025,77.683252,13800,generated,active
Warehouse-0365,13.104442,77.513993,10700,generated,active
Warehouse-0366,13.047948,77.568239,17306,generated,active
Warehouse-0367,12.96287,77.661195,15100,generated,active
Warehouse-0368,13.050287,77.483631,4655,generated,active
Warehouse-0369,13.258415,77.432443,4139,generated,active
Warehouse-0370,13.120352,77.488795,14921,generated,active
Warehouse-0371,12.964897,77.49026,13381,generated,active
Warehouse-0372,12.993994,77.535374,13765,generated,active
Warehouse-0373,12.938372,77.745763,6629,generated,active
Warehouse-0374,12.765829,77.749368,12607,generated,active
Warehouse-0375,12.964455,77.533837,11400,generated,active
Warehouse-0376,12.956811,77.563489,17452,generated,active
Warehouse-0377,12.937034,77.613996,18106,generated,active
Warehouse-0378,13.094221,77.58304,12632,generated,active
Warehouse-0379,12.940908,77.61457,6131,generated,active
Warehouse-0380,12.97795,77.565968,5595,generated,active
Warehouse-0381,13.040058,77.632788,17864,generated,active
Warehouse-0382,13.016125,77.603263,11958,generated,active
Warehouse-0383,13.093677,77.532734,11301,generated,active
Warehouse-0384,13.046368,77.609426,14058,generated,active
Warehouse-0385,12.82187,77.624527,7777,generated,active
Warehouse-0386,13.14094,77.582339,18519,generated,active
Warehouse-0387,12.965535,77.707198,13789,generated,active
Warehouse-0388,12.981453,77.508389,18532,generated,active
Warehouse-0389,12.865118,77.63598,6572,generated,active
Warehouse-0390,12.965373,77.657502,11192,generated,active
Warehouse-0391,13.024502,77.498621,13547,generated,active
Warehouse-0392,12.890271,77.536666,13588,generated,active
Warehouse-0393,13.231167,77.610979,10931,generated,active
Warehouse-0394,13.040353,77.561144,14318,generated,active
Warehouse-0395,12.984177,77.494313,15196,generated,active
Warehouse-0396,13.074102,77.634458,9274,generated,active
Warehouse-0397,12.885278,77.74131,8240,generated,active
Warehouse-0398,13.058196,77.556259,17322,generated,active
Warehouse-0399,12.872018,77.555853,18764,generated,active
Warehouse-0400,12.994528,77.54627,12868,generated,active
Warehouse-0401,12.847833,77.636753,17804,generated,active
Warehouse-0402,12.905946,77.687788,18300,generated,active
Warehouse-0403,12.89578,77.688543,17533,generated,active
Warehouse-0404,12.972415,77.866336,6274,generated,active
Warehouse-0405,13.095871,77.615361,18142,generated,active
Warehouse-0406,12.759974,77.605116,12545,generated,active
Warehouse-0407,12.781808,77.613247,14363,generated,active
Warehouse-0408,13.03033,77.564318,19751,generated,active
Warehouse-0409,12.976792,77.668155,3989,generated,active
Warehouse-0410,12.99108,77.652751,15031,generated,active
Warehouse-0411,12.963745,77.481718,6232,generated,active
Warehouse-0412,12.97117,77.58388,9189,generated,active
Warehouse-0413,13.17387,77.712098,12356,generated,active
Warehouse-0414,12.946735,77.666019,11351,generated,active
Warehouse-0415,13.075638,77.717754,19766,generated,active
Warehouse-0416,13.040008,77.667544,5437,generated,active
Warehouse-0417,13.018978,77.647356,9065,generated,active
Warehouse-0418,13.002971,77.688808,5471,generated,active
Warehouse-0419,13.076248,77.601287,17993,generated,active
Warehouse-0420,12.993097,77.634692,19476,generated,active
Warehouse-0421,13.008955,77.465915,6756,generated,active
Warehouse-0422,12.777112,77.674163,8560,generated,active
Warehouse-0423,13.050236,77.492069,9598,generated,active
Warehouse-0424,12.949082,77.644614,14298,generated,active
Warehouse-0425,12.948672,77.797705,15378,generated,active
Warehouse-0426,12.935827,77.785881,11323,generated,active
Warehouse-0427,12.840609,77.51257,7735,generated,active
Warehouse-0428,13.093684,77.741394,5973,generated,active
Warehouse-0429,13.023089,77.643615,3304,generated,active
Warehouse-0430,12.902039,77.524656,16284,generated,active
Warehouse-0431,12.947199,77.560694,6482,generated,active
Warehouse-0432,13.041451,77.636948,3391,generated,active
Warehouse-0433,12.890128,77.85078,3435,generated,active
Warehouse-0434,12.851239,77.482295,8941,generated,active
Warehouse-0435,12.959429,77.738288,17751,generated,active
Warehouse-0436,12.91283,77.598114,4431,generated,active
Warehouse-0437,13.049049,77.781308,4732,generated,active
Warehouse-0438,12.941144,77.732203,14708,generated,active
Warehouse-0439,13.02395,77.640015,8867,generated,active
Warehouse-0440,13.09129,77.536018,7948,generated,active
Warehouse-0441,12.937146,77.572268,11802,generated,active
Warehouse-0442,13.07745,77.464325,14787,generated,active
Warehouse-0443,12.810873,77.48051,13575,generated,active
Warehouse-0444,12.790571,77.560768,6834,generated,active
Warehouse-0445,12.967483,77.5953,13931,generated,active
Warehouse-0446,12.921128,77.754255,7770,generated,active
Warehouse-0447,12.896948,77.700997,10254,generated,active
Warehouse-0448,12.935231,77.798938,3232,generated,active
Warehouse-0449,12.889319,77.531301,5856,generated,active
Warehouse-0450,12.89485,77.516702,8801,generated,active
Warehouse-0451,12.841104,77.735469,14502,generated,active
Warehouse-0452,13.109555,77.577159,13562,generated,active
Warehouse-0453,12.780724,77.620271,19441,generated,active
Warehouse-0454,12.884387,77.547908,15918,generated,active
Warehouse-0455,12.935555,77.632306,13399,generated,active
Warehouse-0456,12.836703,77.706116,13639,generated,active
Warehouse-0457,12.927711,77.473902,14565,generated,active
Warehouse-0458,12.843942,77.532351,13570,generated,active
Warehouse-0459,13.01048,77.567804,10324,generated,active
Warehouse-0460,12.837642,77.626884,14118,generated,active
Warehouse-0461,13.018265,77.543081,5177,generated,active
Warehouse-0462,12.909973,77.650174,13133,generated,active
Warehouse-0463,13.159253,77.754387,14244,generated,active
Warehouse-0464,12.917874,77.569927,15161,generated,active
Warehouse-0465,12.991444,77.684373,16393,generated,active
Warehouse-0466,12.98118,77.563282,3590,generated,active
Warehouse-0467,13.107274,77.576622,7906,generated,active
Warehouse-0468,13.140749,77.493816,4203,generated,active
Warehouse-0469,12.888962,77.607054,4180,generated,active
Warehouse-0470,13.143115,77.619391,16683,generated,active
Warehouse-0471,13.001782,77.640851,14258,generated,active
Warehouse-0472,13.003139,77.628042,16570,generated,active
Warehouse-0473,12.936964,77.711508,16773,generated,active
Warehouse-0474,13.229567,77.52025,7333,generated,active
Warehouse-0475,12.959125,77.591141,14692,generated,active
Warehouse-0476,13.019844,77.646983,14098,generated,active
Warehouse-0477,12.861513,77.58708,5892,generated,active
Warehouse-0478,12.873786,77.569139,13117,generated,active
Warehouse-0479,12.984665,77.49006,4698,generated,active
Warehouse-0480,12.971489,77.635398,3919,generated,active
Warehouse-0481,12.976433,77.428207,17643,generated,active
Warehouse-0482,12.931222,77.534382,15125,generated,active
Warehouse-0483,12.960394,77.27278,17899,generated,active
Warehouse-0484,13.094294,77.712608,14014,generated,active
Warehouse-0485,13.136466,77.729448,19710,generated,active
Warehouse-0486,13.132917,77.430567,18139,generated,active
Warehouse-0487,12.952578,77.60121,13367,generated,active
Warehouse-0488,13.01511,77.587392,11325,generated,active
Warehouse-0489,12.920472,77.560514,10142,generated,active
Warehouse-0490,13.101949,77.766594,13200,generated,active
Warehouse-0491,13.115733,77.420492,14267,generated,active
Warehouse-0492,12.929052,77.625531,6826,generated,active
Warehouse-0493,13.032398,77.614724,6303,generated,active
Warehouse-0494,12.987196,77.531683,10283,generated,active
Warehouse-0495,12.878545,77.816058,7585,generated,active
Warehouse-0496,13.100307,77.526957,3408,generated,active
Warehouse-0497,13.06369,77.61811,17902,generated,active
Warehouse-0498,13.038053,77.628633,16389,generated,active
Warehouse-0499,13.167226,77.361184,17664,generated,active
Warehouse-0500,12.977836,77.696851,19716,generated,active
